month,visits,desktop_visits,mobile_visits,source_url
2025-09-01,4283921,2142726,2141195,https://www.semrush.com/website/chrono24.com/overview/
2025-10-01,4996603,2505035,2491568,https://www.semrush.com/website/chrono24.com/overview/
2025-11-01,4387073,2200301,2186772,https://www.semrush.com/website/chrono24.com/overview/
2025-12-01,4381943,2392807,1989136,https://www.semrush.com/website/chrono24.com/overview/
2026-01-01,4392499,2407781,1984718,https://www.semrush.com/website/chrono24.com/overview/
2026-02-01,3730680,2007418,1723262,https://www.semrush.com/website/chrono24.com/overview/
