date,sold_at,source,listing_id,seller_id,seller_type,sale_mechanism,brand,model,reference,condition,currency,sale_price,days_to_sell,sell_speed_eligible,sold_inference
2026-03-08,2026-03-08T17:41:25.116+00:00,chrono24,45025333,Private Seller,private,listing,TAG Heuer,Monaco,CS2110.FC8119,Good,USD,3261.0,,False,api_sold_listing_state
2026-03-08,2026-03-08T21:02:54.572+00:00,chrono24,44667075,Private Seller,private,listing,Omega,Speedmaster Professional Moonwatch,145.022 (Speedmaster Vintage),Good,USD,4496.0,,False,api_sold_listing_state
2026-03-08,2026-03-08T21:50:03.219+00:00,chrono24,44452284,Private Seller,private,listing,TAG Heuer,Formula 1 Quartz,WAU1112,Good,USD,550.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T00:15:33.087+00:00,chrono24,44717408,Private Seller,private,listing,Breitling,Avenger,E13360,Very good,USD,2489.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T00:17:04.329+00:00,chrono24,44723640,Private Seller,private,listing,Seiko,Premier Automatic Muy poco usado! Caja y documentacion,SPB005J1,Like new & unworn,USD,474.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T00:37:03.847+00:00,chrono24,45090327,Private Seller,private,listing,TAG Heuer,Formula 1 Solargraph,WBY111A.FT8106,Like new & unworn,USD,1795.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T00:53:21.451+00:00,chrono24,44761758,Private Seller,private,listing,Cartier,Tank Vermeil,590005,Good,USD,2015.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T02:58:02.175+00:00,chrono24,45026297,Private Seller,private,listing,Omega,Seamaster Aqua Terra,220.10.38.20.02.001,Very good,USD,3970.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T04:30:39.307+00:00,chrono24,44914819,Private Seller,private,listing,Seiko,5 Sports,SRPD69K1,Like new & unworn,USD,285.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T04:43:00.6+00:00,chrono24,44976624,Private Seller,private,listing,Seiko,Presage,SRPG09J1,Very good,USD,360.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T05:23:33.989+00:00,chrono24,45018171,Private Seller,private,listing,Seiko,Alpinist,SARB017 (Diving Watches),Good,USD,758.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T05:34:21.356+00:00,chrono24,44912681,Private Seller,private,listing,Seiko,5 Sports,SRPG41K1,Like new & unworn,USD,250.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T06:04:08.542+00:00,chrono24,45090658,Couronne,dealer,listing,Omega,Seamaster Aqua Terra,220.12.41.21.06.001,Very good,USD,4855.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T06:09:20.416+00:00,chrono24,39211714,Private Seller,private,listing,Omega,Constellation,167.005,Very good,USD,1892.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T06:19:44.04+00:00,chrono24,44387741,Private Seller,private,listing,Omega,Seamaster Diver 300 M,212.30.41.20.01.003,Very good,USD,3100.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T06:26:18.599+00:00,chrono24,45070267,Private Seller,private,listing,Seiko,Lord Matic,5606-7000 (Vintage),Very good,USD,208.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T07:04:26.44+00:00,chrono24,44946547,Private Seller,private,listing,IWC,43 Spitfire Big Purchased in 2025,IW329702,Like new & unworn,USD,6200.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T07:08:54.132+00:00,chrono24,44507065,Private Seller,private,listing,Seiko,Arctura,7L22-0AA0,Very good,USD,169.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T07:09:31.98+00:00,chrono24,45142348,Private Seller,private,listing,Omega,Speedmaster Professional Moonwatch,310.30.42.50.01.002,Like new & unworn,USD,6546.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T08:01:02.981+00:00,chrono24,44485840,Private Seller,private,listing,Seiko,Alpinist,SCVF005 (Diving Watches),Good,USD,722.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T10:33:54.642+00:00,chrono24,44922315,Private Seller,private,listing,IWC,Porsche Design,IW3335,Good,USD,738.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T11:05:18.833+00:00,chrono24,45169347,Private Seller,private,listing,Breitling,Avenger,AB0147101L1X1,Very good,USD,4681.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T11:35:32.101+00:00,chrono24,44782889,Private Seller,private,listing,Omega,Seamaster 120 M,176.004 (Seamaster Vintage),Good,USD,6657.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T11:53:23.953+00:00,chrono24,45189157,Private Seller,private,listing,Seiko,Prospex,SSC817P1 (Diving Watches),Very good,USD,429.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T12:46:49.369+00:00,chrono24,44942730,Private Seller,private,listing,TAG Heuer,Carrera Calibre 5,WAR201D.FC6291,Very good,USD,1799.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T14:54:24.687+00:00,chrono24,45114947,Private Seller,private,listing,TAG Heuer,Monza,CR2110,Very good,USD,2726.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T15:39:18.501+00:00,chrono24,44884458,Private Seller,private,listing,Seiko,Presage,SARA015,Very good,USD,1750.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T19:41:07.289+00:00,chrono24,45157749,Private Seller,private,listing,Cartier,Santos,WSSA0037,Good,USD,7000.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T19:48:30.513+00:00,chrono24,45025058,Private Seller,private,listing,Rolex,Datejust 41,126334 (Jubilee),Very good,USD,12885.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T20:24:37.164+00:00,chrono24,44701725,Deals Guru,dealer,listing,Seiko,Alpinist,SPB210J1 (Diving Watches),Like new & unworn,USD,590.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T21:22:03.605+00:00,chrono24,45004381,Private Seller,private,listing,TAG Heuer,2000,WK 2117,Good,USD,549.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T21:27:23.78+00:00,chrono24,45089597,Private Seller,private,listing,Cartier,Tank,2415 (Tank Must),Fair,USD,1499.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T21:55:05.734+00:00,chrono24,44526980,Private Seller,private,listing,Seiko,Prospex,SLA061J1 (Diving Watches),Like new & unworn,USD,2166.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T22:01:31.729+00:00,chrono24,44957949,Private Seller,private,listing,Seiko,Sportsmatic Deluxe 5 Fluted Bezel,7619-7040,Good,USD,301.0,,False,api_sold_listing_state
2026-03-09,2026-03-09T22:08:34.639+00:00,chrono24,44546946,Private Seller,private,listing,Panerai,Radiomir 8 Days,PAM 00610,Very good,USD,3350.0,,False,api_sold_listing_state
2026-03-10,2026-03-10T01:59:12.248+00:00,chrono24,44636189,Private Seller,private,listing,Seiko,5 Sports,srpl87k1,Like new & unworn,USD,287.0,,False,api_sold_listing_state
2026-03-10,2026-03-10T02:04:46.999+00:00,chrono24,43318192,Private Seller,private,listing,TAG Heuer,Formula 1 Calibre 5,WAZ2011.BA0843,Very good,USD,1615.0,,False,api_sold_listing_state
2026-03-10,2026-03-10T02:10:07.664+00:00,chrono24,44740518,Private Seller,private,listing,Rolex,Datejust 41,126334,Good,USD,10000.0,,False,api_sold_listing_state
2026-03-10,2026-03-10T04:52:41.503+00:00,chrono24,44504254,Private Seller,private,listing,Seiko,5 Sports,SRPG27K1,Very good,USD,213.0,,False,api_sold_listing_state
2026-03-10,2026-03-10T05:13:54.634+00:00,chrono24,45085707,Private Seller,private,listing,Seiko,From Japan Perpetual Calendar Watch Seiko Men's Full set in new condition,7T86-0AC0,Like new & unworn,USD,295.0,,False,api_sold_listing_state
2026-03-10,2026-03-10T05:17:48.534+00:00,chrono24,45088274,Private Seller,private,listing,Omega,Seamaster Planet Ocean,215.32.44.21.01.002,Very good,USD,4950.0,,False,api_sold_listing_state
2026-03-10,2026-03-10T06:28:44.908+00:00,chrono24,44546551,Private Seller,private,listing,TAG Heuer,Aquaracer,WBP1114.BA0000,Very good,USD,1481.0,,False,api_sold_listing_state
2026-03-10,2026-03-10T08:12:32.333+00:00,chrono24,44676960,Private Seller,private,listing,Cartier,Tank,WSTA0090 (Tank Must),Like new & unworn,USD,3427.0,,False,api_sold_listing_state
2026-03-10,2026-03-10T08:42:55.853+00:00,chrono24,44945540,Private Seller,private,listing,Rolex,Precision,4498,Good,USD,2726.0,,False,api_sold_listing_state
2026-03-10,2026-03-10T09:14:02.648+00:00,chrono24,45036917,Private Seller,private,listing,Seiko,Scuba,SKX009K2,Good,USD,356.0,,False,api_sold_listing_state
2026-03-10,2026-03-10T11:47:58.974+00:00,chrono24,45086380,Private Seller,private,listing,Cartier,Tank,Cartier Must de Cartier Tank (Tank Must),Very good,USD,2074.0,,False,api_sold_listing_state
2026-03-10,2026-03-10T11:52:30.47+00:00,chrono24,44731355,Private Seller,private,listing,Breitling,Aerospace,E56060,Like new & unworn,USD,1372.0,,False,api_sold_listing_state
2026-03-10,2026-03-10T12:23:14.02+00:00,chrono24,44616339,Private Seller,private,listing,TAG Heuer,Aquaracer,CAF1112,Good,USD,770.0,,False,api_sold_listing_state
2026-03-10,2026-03-10T23:57:23.479+00:00,chrono24,44290655,Private Seller,private,listing,Breitling,Avenger,E13360,Very good,USD,2695.0,,False,api_sold_listing_state
2026-03-11,2026-03-11T00:26:49.758+00:00,chrono24,44879409,Private Seller,private,listing,Breitling,Superocean Heritage 42,A1732116/C832,Good,USD,3188.0,,False,api_sold_listing_state
2026-03-11,2026-03-11T00:29:31.067+00:00,chrono24,44668281,Private Seller,private,listing,Rolex,Datejust 36,16013,Like new & unworn,USD,5971.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T09:44:21.47+00:00,chrono24,44635598,Private Seller,private,listing,Seiko,Prospex,SSC947P1 (Diving Watches),Like new & unworn,USD,525.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T09:47:46.656+00:00,chrono24,45073102,LUXEDEALMASTER,dealer,listing,Omega,Seamaster Diver 300 M,210.32.44.51.01.001,Very good,USD,5500.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T09:51:05.292+00:00,chrono24,44437565,Boxandpapers,dealer,listing,Tudor,Pelagos,25807KN-0001,Like new & unworn,USD,3223.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T09:59:30.615+00:00,chrono24,43084618,Private Seller,private,listing,Tudor,Black Bay GMT,79830RB,Like new & unworn,USD,3324.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T10:00:11.574+00:00,chrono24,45178339,Private Seller,private,listing,Tudor,Black Bay GMT,M79833MN-0004,Very good,USD,3300.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T10:03:22.476+00:00,chrono24,45172331,Private Seller,private,listing,Breitling,Chronomat,AB0136161C1S1,Very good,USD,5542.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T10:54:16.349+00:00,chrono24,44905882,Private Seller,private,listing,Seiko,Prospex king turttle edition limite night vision,SRPK43K1,Like new & unworn,USD,569.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T10:57:21.828+00:00,chrono24,44188734,Private Seller,private,listing,Breitling,Cockpit,B49350,Very good,USD,3025.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T10:57:45.285+00:00,chrono24,44976776,Private Seller,private,listing,Seiko,5 Sports,SRPE51K1,Very good,USD,175.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T10:57:48.561+00:00,chrono24,45024506,Private Seller,private,listing,Seiko,5,SNK063J5,Like new & unworn,USD,190.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T11:00:35.002+00:00,chrono24,42464980,Boxandpapers,dealer,listing,Tudor,Heritage Chrono,70330N,Good,USD,2801.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T11:04:18.48+00:00,chrono24,45004541,Private Seller,private,listing,Audemars Piguet,Royal Oak Chronograph,26320ST.OO.1220ST.02,Like new & unworn,USD,34535.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T11:25:59.218+00:00,chrono24,45242068,Private Seller,private,listing,IWC,Pilot Chronograph,IW388117,Like new & unworn,USD,7185.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T11:28:44.38+00:00,chrono24,44716637,Private Seller,private,listing,Cartier,Santos Galbée,1565,Very good,USD,2934.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T12:11:34.753+00:00,chrono24,45022673,Private Seller,private,listing,Seiko,5 Sports,SRPE61K1,Very good,USD,234.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T12:11:49.866+00:00,chrono24,45156480,Private Seller,private,listing,Rolex,Oysterdate Precision,6694,Very good,USD,2315.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T12:20:53.859+00:00,chrono24,44909034,Private Seller,private,listing,Omega,Seamaster,2850.50,Fair,USD,723.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T13:42:20.585+00:00,chrono24,45134916,Private Seller,private,listing,Seiko,Scuba,SKX013K2 (Diving Watches),Good,USD,330.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T13:54:55.341+00:00,chrono24,43902690,Private Seller,private,listing,Hublot,Big Bang 44 mm,301.PB.131.PB,Very good,USD,16590.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T14:01:07.903+00:00,chrono24,45041227,Private Seller,private,listing,Seiko,Scuba,SKX009K2,Very good,USD,320.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T14:04:20.222+00:00,chrono24,44777619,Private Seller,private,listing,Zenith,El Primero Chronomaster,03.2080.4021/21.C496,Like new & unworn,USD,4619.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T15:14:55.005+00:00,chrono24,43261758,Private Seller,private,listing,Breitling,Navitimer,81600 (Navitimer Vintage),Good,USD,3574.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T15:17:24.705+00:00,chrono24,43780775,Private Seller,private,listing,TAG Heuer,Carrera,CBS2240.FC8319,Very good,USD,17597.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T15:20:29.712+00:00,chrono24,43661700,Private Seller,private,listing,Cartier,Santos,2961,Fair,USD,3555.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T15:23:40.727+00:00,chrono24,45196245,Private Seller,private,listing,Zenith,El Primero Chronomaster,03.A384.400/21.M384,Very good,USD,5100.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T15:24:10.782+00:00,chrono24,44656312,Private Seller,private,listing,Tudor,Glamour Double Date,57000,Good,USD,1800.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T15:29:42.617+00:00,chrono24,45084057,Private Seller,private,listing,Seiko,Prospex,SRPF03 (Diving Watches),Good,USD,326.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T16:57:37.06+00:00,chrono24,40474699,Private Seller,private,listing,Cartier,Santos,2965,Very good,USD,2606.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T16:58:08.971+00:00,chrono24,45119155,Private Seller,private,listing,Omega,Seamaster,165.001 (Seamaster Vintage),Very good,USD,875.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T17:00:35.885+00:00,chrono24,44528369,Private Seller,private,listing,IWC,Portuguese Automatic,IW501701,Like new & unworn,USD,11258.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T17:04:09.595+00:00,chrono24,44968163,Private Seller,private,listing,Cartier,Ballon Bleu,3005,Very good,USD,3875.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T17:07:45.904+00:00,chrono24,44025163,Private Seller,private,listing,Omega,Genève,5200.50,Very good,USD,1541.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T17:10:50.662+00:00,chrono24,44975485,Private Seller,private,listing,Breitling,Endurance Pro,X82310281B1S1,Like new & unworn,USD,2300.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T18:42:57.022+00:00,chrono24,42705525,Private Seller,private,listing,Hublot,Super B,1926.NL30.1,Very good,USD,3930.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T18:46:20.495+00:00,chrono24,43160267,Private Seller,private,listing,Rolex,Datejust 36,126234,Like new & unworn,USD,12753.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T18:49:28.156+00:00,chrono24,44438071,Private Seller,private,listing,Seiko,Scuba,unknown,unknown,USD,408.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T18:52:01.298+00:00,chrono24,45138269,Private Seller,private,listing,Tudor,Royal,28600-0005,Like new & unworn,USD,2311.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T18:55:03.692+00:00,chrono24,44192708,Private Seller,private,listing,Seiko,Prospex,SPB187J1 (Diving Watches),Very good,USD,728.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T19:07:27.304+00:00,chrono24,44825193,Private Seller,private,listing,Vacheron Constantin,Patrimony,33060,Very good,USD,4630.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T19:10:51.328+00:00,chrono24,45236523,Private Seller,private,listing,Seiko,Prospex,SSC813P1,Good,USD,450.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T20:17:46.463+00:00,chrono24,44955786,Private Seller,private,listing,Breitling,Bentley Flying B,R28362,Very good,USD,14064.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T20:27:01.496+00:00,chrono24,44997196,Private Seller,private,listing,Hublot,Classic Fusion Chronograph,541.CM.1171.RX (Black Magic),Very good,USD,6800.0,,False,api_sold_listing_state
2026-03-12,2026-03-12T20:30:06.287+00:00,chrono24,45107713,Private Seller,private,listing,Omega,Constellation,168.005,Very good,USD,2074.0,,False,api_sold_listing_state
