date,sold_at,source,listing_id,seller_id,seller_type,sale_mechanism,brand,model,reference,condition,currency,sale_price,days_to_sell,sell_speed_eligible,sold_inference
2026-03-02,2026-03-02T11:02:17.268+00:00,chrono24,44784266,Private Seller,private,listing,Panerai,Luminor Marina,PAM 00113,Good,USD,3572.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T00:51:12.805+00:00,chrono24,44327585,Private Seller,private,listing,TAG Heuer,Autavia,CBE2118.FC8246,Like new & unworn,USD,3800.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T07:46:33.617+00:00,chrono24,45017191,Private Seller,private,listing,Cartier,Santos,WSSA0039,Like new & unworn,USD,7250.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T08:05:13.172+00:00,chrono24,45022734,Private Seller,private,listing,Zenith,El Primero Chronograph,19.0130.400,Very good,USD,2259.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T08:46:05.815+00:00,chrono24,44010287,Private Seller,private,listing,TAG Heuer,Monaco Calibre 12,CAW2111 (Steve McQueen),Very good,USD,3500.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T09:12:13.167+00:00,chrono24,45086487,Private Seller,private,listing,Seiko,5 Sports,SNZF17K1,Very good,USD,180.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T11:09:22.247+00:00,chrono24,44755897,Private Seller,private,listing,Breitling,Colt GMT+,A32370,Very good,USD,1750.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T11:11:16.843+00:00,chrono24,45026036,Private Seller,private,listing,Seiko,5,7009-876A,Good,USD,124.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T11:30:51.214+00:00,chrono24,44832826,Private Seller,private,listing,TAG Heuer,Carrera Calibre HEUER 01,CAR2A5A.FT6044,Very good,USD,4119.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T11:37:38.466+00:00,chrono24,44855215,Private Seller,private,listing,Rolex,Daytona,116503 (Two-tone),Very good,USD,21370.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T11:47:09.335+00:00,chrono24,44387191,Private Seller,private,listing,TAG Heuer,Formula 1 Quartz,375.513,Good,USD,393.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T11:55:35.734+00:00,chrono24,45073731,Private Seller,private,listing,Omega,Seamaster Diver 300 M,210.32.42.20.01.001,Like new & unworn,USD,4499.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T13:04:45.705+00:00,chrono24,44126315,Private Seller,private,listing,Seiko,Prospex,SPB097J1 (Diving Watches),Very good,USD,590.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T13:14:24.139+00:00,chrono24,44522414,Private Seller,private,listing,Rolex,Datejust 36,16013,Very good,USD,5445.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T13:16:27.296+00:00,chrono24,45008820,Private Seller,private,listing,Seiko,5 Sports,SSK033K1,Very good,USD,300.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T13:43:58.82+00:00,chrono24,44942763,Private Seller,private,listing,Cartier,Tank,WSTA0053 (Tank Must),Very good,USD,3795.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T13:49:26.233+00:00,chrono24,44972980,Private Seller,private,listing,Omega,Speedmaster Mark II,145.014 (Speedmaster Vintage),Fair,USD,3072.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T13:49:36.774+00:00,chrono24,45017646,Private Seller,private,listing,Seiko,5,SNKP21J1,Like new & unworn,USD,230.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T13:51:14.775+00:00,chrono24,44948911,Private Seller,private,listing,Rolex,Air King,14000,Very good,USD,3609.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T13:57:55.642+00:00,chrono24,45032590,Private Seller,private,listing,Seiko,Chariot,2220-0430 (Vintage),Good,USD,224.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T14:13:27.985+00:00,chrono24,45052902,Private Seller,private,listing,Seiko,5,SNK621K1,Very good,USD,144.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T14:46:30.514+00:00,chrono24,44377117,Private Seller,private,listing,Rolex,Datejust 36,1603,Good,USD,3243.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T14:55:07.331+00:00,chrono24,44734979,Private Seller,private,listing,Omega,De Ville,511.0404,Very good,USD,650.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T15:03:18.445+00:00,chrono24,45056658,Private Seller,private,listing,Seiko,Prospex,SSC965P1 (Diving Watches),Like new & unworn,USD,603.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T15:09:19.827+00:00,chrono24,44939133,Private Seller,private,listing,Tudor,Submariner,79090,Good,USD,6495.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T15:12:00.203+00:00,chrono24,44620703,Private Seller,private,listing,Breitling,Superocean Heritage II 42,AB2010121L1A1,Very good,USD,4115.0,,False,api_sold_listing_state
2026-03-05,2026-03-05T15:12:06.236+00:00,chrono24,44719110,Private Seller,private,listing,TAG Heuer,3000,934.213,Fair,USD,363.0,,False,api_sold_listing_state
2026-03-06,2026-03-06T09:22:54.142+00:00,chrono24,44355974,"HOUBIDOU Co.,Ltd.",dealer,listing,Hublot,Classic Fusion Aerofusion,517.NX.0170.LR,Very good,USD,8010.0,,False,api_sold_listing_state
2026-03-06,2026-03-06T14:50:38.329+00:00,chrono24,44830475,Private Seller,private,listing,Omega,Seamaster Diver 300 M,210.30.42.20.01.001,Very good,USD,4000.0,,False,api_sold_listing_state
2026-03-07,2026-03-07T00:39:22.864+00:00,chrono24,44996988,"REPESTA Co., Ltd.",dealer,listing,Omega,Seamaster,2534.50,Very good,USD,2360.0,,False,api_sold_listing_state
2026-03-07,2026-03-07T06:55:18.174+00:00,chrono24,44961725,Private Seller,private,listing,Breitling,Pluton,3100,Good,USD,1027.0,,False,api_sold_listing_state
2026-03-07,2026-03-07T07:53:52.302+00:00,chrono24,43610574,Private Seller,private,listing,Breitling,Avi Chronograph 42 Tribute To Vought F4u Corsair Brand New Never Worn,A233801A1C1X1,Like new & unworn,USD,3300.0,,False,api_sold_listing_state
2026-03-07,2026-03-07T08:31:17.575+00:00,chrono24,45097974,Watch Concept,dealer,listing,Omega,Constellation Quartz,123.20.27.60.02.003,Very good,USD,2965.0,,False,api_sold_listing_state
2026-03-07,2026-03-07T08:34:18.769+00:00,chrono24,40942693,Private Seller,private,listing,TAG Heuer,Aquaracer,WAY101C.BA0746,Like new & unworn,USD,1548.0,,False,api_sold_listing_state
2026-03-07,2026-03-07T09:15:18.779+00:00,chrono24,44760882,"REPESTA Co., Ltd.",dealer,listing,Omega,Speedmaster Date,3511.50,Fair,USD,1716.0,,False,api_sold_listing_state
2026-03-07,2026-03-07T13:52:44.787+00:00,chrono24,45042967,Private Seller,private,listing,Seiko,Herren-armbanduhr Automatik Seiko Automatic 4R35B,SRPH89K1,Good,USD,230.0,,False,api_sold_listing_state
2026-03-07,2026-03-07T14:10:45.339+00:00,chrono24,40508221,Private Seller,private,listing,Omega,Speedmaster Day Date,3521.80.00,Very good,USD,2292.0,,False,api_sold_listing_state
2026-03-07,2026-03-07T16:22:24.648+00:00,chrono24,44880030,Private Seller,private,listing,TAG Heuer,Formula 1 Quartz,CAZ1012.BA0883 (Senna),Good,USD,943.0,,False,api_sold_listing_state
2026-03-07,2026-03-07T16:31:05.714+00:00,chrono24,44692025,Private Seller,private,listing,Rolex,Oyster Precision,6430 (Speedking),Good,USD,2169.0,,False,api_sold_listing_state
2026-03-07,2026-03-07T16:57:19.281+00:00,chrono24,44538951,Private Seller,private,listing,Tudor,Oysterdate Big Block,79170,Like new & unworn,USD,5924.0,,False,api_sold_listing_state
2026-03-07,2026-03-07T23:19:12.938+00:00,chrono24,44714143,Private Seller,private,listing,Seiko,Snk615 Snk615k Men's Watch 5 Sports Automatic SNK615K1,SNK615K1,Like new & unworn,USD,137.0,,False,api_sold_listing_state
2026-03-07,2026-03-07T23:37:44.375+00:00,chrono24,44943761,Private Seller,private,listing,Breitling,Aerospace EVO,V79363101B1S1,Very good,USD,4023.0,,False,api_sold_listing_state
2026-03-08,2026-03-08T01:47:18.952+00:00,chrono24,44894467,Private Seller,private,listing,Omega,De Ville,511.0504,Very good,USD,328.0,,False,api_sold_listing_state
2026-03-08,2026-03-08T02:53:16.497+00:00,chrono24,44971751,RWE Inc.,dealer,listing,Rolex,Datejust 36,1601,Very good,USD,4206.0,,False,api_sold_listing_state
2026-03-08,2026-03-08T04:26:40.922+00:00,chrono24,44899261,Private Seller,private,listing,Breitling,Superocean 36,A17316D21A1S1,Very good,USD,2250.0,,False,api_sold_listing_state
2026-03-08,2026-03-08T05:46:09.332+00:00,chrono24,44771662,Private Seller,private,listing,Seiko,5 Sports,SRPG41K1,Like new & unworn,USD,230.0,,False,api_sold_listing_state
2026-03-08,2026-03-08T10:59:45.151+00:00,chrono24,44974917,Private Seller,private,listing,Rolex,Datejust 41,126334 (Jubilee),Like new & unworn,USD,13100.0,,False,api_sold_listing_state
2026-03-08,2026-03-08T13:11:09.798+00:00,chrono24,41817277,Private Seller,private,listing,Audemars Piguet,Royal Oak,15500ST.OO.1220ST.02,Like new & unworn,USD,38348.0,,False,api_sold_listing_state
2026-03-08,2026-03-08T13:11:32.984+00:00,chrono24,40955919,Private Seller,private,listing,Omega,Seamaster Diver 300 M,210.30.44.51.01.001,Good,USD,5200.0,,False,api_sold_listing_state
2026-03-08,2026-03-08T13:26:46.603+00:00,chrono24,45089991,Private Seller,private,listing,Breitling,Superocean 42,A17375E71G1A1,Like new & unworn,USD,3321.0,,False,api_sold_listing_state
2026-03-08,2026-03-08T14:28:43.171+00:00,chrono24,44760452,"REPESTA Co., Ltd.",dealer,listing,Omega,Seamaster Diver 300 M,2561.80,Good,USD,1642.0,,False,api_sold_listing_state
2026-03-08,2026-03-08T17:36:13.674+00:00,chrono24,44922249,Private Seller,private,listing,Rolex,Datejust 41,126300 (Datejust smooth bezel),Very good,USD,8470.0,,False,api_sold_listing_state
